JP,KUJ,Kushimoto Off-line Point,Kushimoto,
JP,KUM,Yakushima Airport,Yakushima,
JP,LMJ,Tokyo Bus Station,Tokyo,
JP,MBE,Monbetsu Airport,Monbetsu,
JP,MMB,Memanbetsu Airport,Memanbetsu,
JP,MMD,Minamidaito Airport,Minamidaito,
JP,MMJ,Matsumoto Airport,Matsumoto,
JP,MMY,Miyako Airport,Miyako,
JP,MSJ,Misawa Airport,Misawa,
JP,MUS,Minamitorishima Airport,Minamitorishima,
JP,MYE,Miyakejima Airport,Miyakejima,
JP,MYJ,Matsuyama Airport,Matsuyama,
JP,NGO,Nagoya Chubu Centrair Intl Airport,Nagoya,
JP,NGS,Nagasaki Nagasaki Airport Airport,Nagasaki,
JP,NGY,Nagoya EK Bus Station,Nagoya,
JP,NJA,Atsugi NAF Airport,Atsugi,
JP,NKM,Nagoya Nagoya (Komaki) Airport,Nagoya,
JP,NRT,Tokyo Narita Intl Airport,Tokyo,
JP,NTQ,Wajima Noto Airport,Wajima,
JP,OBO,Obihiro Airport,Obihiro,
JP,OGN,Yonaguni Airport,Yonaguni,
JP,OIM,Oshima Airport,Oshima,
JP,OIR,Okushiri Airport,Okushiri,
JP,OIT,Oita Airport,Oita,
JP,OKA,Okinawa Naha Airport,Okinawa,
JP,OKD,Sapporo Okadama Airport,Sapporo,
JP,OKE,Okierabu Airport,Okierabu,
JP,OKI,Oki Airport,Oki,
JP,OKJ,Okayama Airport,Okayama,
JP,OKO,Tokyo Yokota AB Airport,Tokyo,
JP,OMJ,Nagasaki Omura Airport,Nagasaki,
JP,ONJ,Odate/Noshiro Airport,Odate/Noshiro,
JP,OSA,Osaka Metropolitan Area,Osaka,
JP,QCB,Chiba Off-line Point,Chiba,
JP,QEB,Maebashi Off-line Point,Maebashi,
JP,QFY,Fukuyama Off-line Point,Fukuyama,
JP,QGT,Moriguchi Off-line Point,Moriguchi,
JP,QGU,Gifu Off-line Point,Gifu,
JP,QGZ,Yokkaichi Off-line Point,Yokkaichi,
JP,QHY,Hachioji Off-line Point,Hachioji,
JP,QIS,Mito Off-line Point,Mito,
JP,QKV,Sakai Off-line Point,Sakai,
JP,QKW,Kanazawa Off-line Point,Kanazawa,
JP,QKY,Wakayama Off-line Point,Wakayama,
JP,QNG,Nagano Off-line Point,Nagano,
JP,QNZ,Nara Off-line Point,Nara,
JP,QOM,Omiya Off-line Point,Omiya,
JP,QOO,Otsu Off-line Point,Otsu,
JP,QOT,Otaru Off-line Point,Otaru,
JP,QRN,Muroran Off-line Point,Muroran,
JP,QTM,Tomakomai Off-line Point,Tomakomai,
JP,QTY,Tsu Off-line Point,Tsu,
JP,QUT,Utsunomiya Off-line Point,Utsunomiya,
JP,RBJ,Rebun Airport,Rebun,
JP,RIS,Rishiri Airport,Rishiri,
JP,RNJ,Yoron Airport,Yoron,
JP,SDJ,Sendai Airport,Sendai,
JP,SDS,Sado Airport,Sado,
JP,SHB,Nakashibetsu Airport,Nakashibetsu,
JP,SHI,Shimojishima Airport,Shimojishima,
JP,SHM,Shirahama Nanki-Shirahama Airport,Shirahama,
JP,SPK,Sapporo Metropolitan Area,Sapporo,
JP,SYO,Shonai Airport,Shonai,
JP,TAK,Takamatsu Airport,Takamatsu,
JP,TJH,Toyooka Tajima Airport,Toyooka,
JP,TKN,Tokunoshima Airport,Tokunoshima,
JP,TKS,Tokushima Airport,Tokushima,
JP,TNE,Tanegashima Airport,Tanegashima,
JP,TOY,Toyama Airport,Toyama,
JP,TRA,Tarama Airport,Tarama,
JP,TSJ,Tsushima Airport,Tsushima,
JP,TTJ,Tottori Airport,Tottori,
JP,TYO,Tokyo Metropolitan Area,Tokyo,
JP,UBJ,Ube Yamaguchi-Ube Airport,Ube,
JP,UEO,Kumejima Airport,Kumejima,
JP,UKB,Osaka Kobe Airport,Osaka,
JP,UKY,Kyoto Downtown Heliport,Kyoto,
JP,WKJ,Wakkanai Airport,Wakkanai,
JP,XEI,Tsukuba Off-line Point,Tsukuba,
JP,XZJ,Rail (Generic) Off line Point,Rail (Generic),
JP,YGJ,Yonago Miho Airport,Yonago,
JP,YOK,Yokohama Off-line Point,Yokohama,
KE,ANA,Angama Mara Airport,Maasai Mara,
KE,ASV,Amboseli Airport,Amboseli,
KE,BMQ,Bamburi Airport,Bamburi,
KE,EDL,Eldoret International Airport,Eldoret,
KE,EYS,Eliye Springs Airport,Eliye Springs,
KE,GAS,Garissa Airport,Garissa,
KE,GGM,Kakamega Airport,Kakamega,
KE,HKR,Mara North Conservancy Airstrip,Maasai Mara,
KE,HOA,Hola Airport,Hola,
KE,ILU,Kilaguni Airport,Kilaguni,
KE,JJM,Meru-Kinna Mulika Lodge Airport,Meru-Kinna,
KE,KEU,Keekorok Airport,Maasai Mara,
KE,KEY,Kericho Airport,Kericho,
KE,KIS,Kisumu Airport,Kisumu,
KE,KIU,Kiunga Airport,Kiunga,
KE,KLK,Kalokol Fergusons Gulf Airport,Kalokol,
KE,KRV,Kimwarer Kerio Valley Airport,Kimwarer,
KE,KTJ,Kichwa Tembo Airport,Maasai Mara,
KE,KTL,Kitale Airport,Kitale,
KE,KWY,Kiwayu Airport,Kiwayu,
KE,LAU,Lamu Manda Airport,Lamu,
KE,LBK,Liboi Airport,Liboi,
KE,LBN,Lake Baringo Airport,Lake Baringo,
KE,LKG,Lokichogio Airport,Lokichogio,
KE,LKU,Lake Turkana Airport,Lake Turkana,
KE,LOK,Lodwar Airport,Lodwar,
KE,LOY,Loyengalani Airport,Loyengalani,
KE,MBA,Mombasa Moi International Airport,Mombasa,
KE,MDR,Musiara Airport,Maasai Mara,
KE,MRE,Masai Mara Mara Serena Airport,Masai Mara,
KE,MYD,Malindi Airport,Malindi,
KE,NBO,Nairobi Jomo Kenyatta Intl Airport,Nairobi,
KE,NDE,Mandera Airport,Mandera,
KE,NUU,Nakuru Airport,Nakuru,
KE,NYE,Nyeri Airport,Nyeri,
KE,NYK,Nanyuki Airport,Nanyuki,
KE,OLG,Olare Airport,Maasai Mara,
KE,OLX,Olkiombo Airstrip,Maasai Mara,
KE,OSJ,Ol Seki Airstrip,Maasai Mara,
KE,OYL,Moyale Airport,Moyale,
KE,RBT,Marsabit Airport,Marsabit,
KE,UAS,Samburu Buffalo Spring Airport,Samburu,
KE,UKA,Ukunda Diani Airport,Ukunda,
KE,VPG,Vipingo Airport,Vipingo,
KE,WIL,Nairobi Wilson Airport,Nairobi,
KE,WJR,Wajir Airport,Wajir,
KG,FRU,Bishkek Manas Intl Airport,Bishkek,
KG,IKU,Tamchy Issyk-Kul International Airport,Tamchy,
KG,OSS,Osh Airport,Osh,
KH,BBM,Battambang Airport,Battambang,
KH,KKZ,Koh Kong Airport,Koh Kong,
KH,KMT,Kampot Airport,Kampot,
KH,KOS,Sihanoukville International Airport,Sihanoukville,
KH,KTI,Kratie Airport,Kratie,
KH,KZC,Kampong Chhnang Airport,Kampong Chhnang,
KH,KZD,Krakor Airport,Krakor,
KH,MWV,Mondulkiri Airport,Mondulkiri,
KH,OMY,Thbeng Meanchey Preah Vinhear Airport,Thbeng Meanchey,
KH,PNH,Phnom Penh International Airport,Phnom Penh,
KH,RBE,Ratanakiri Airport,Ratanakiri,
KH,REP,Siem Reap Angkor Intl Airport,Siem Reap,
KH,TNX,StungTreng Airport,StungTreng,
KI,AAK,Aranuka Airport,Aranuka,
KI,ABF,Abaiang Airport,Abaiang,
KI,AEA,Abemama Airport,Abemama,
KI,AIS,Arorae Airport,Arorae,
KI,BBG,Butaritari Airport,Butaritari,
KI,BEZ,Beru Airport,Beru,
KI,CIS,Canton Island Airport,Canton Island,
KI,CXI,Kiritimati Cassidy Intl Airport,Kiritimati,
KI,KUC,Kuria Airport,Kuria,
KI,MNK,Maiana Airport,Maiana,
KI,MTK,Makin Airport,Makin,
KI,MZK,Marakei Airport,Marakei,
KI,NIG,Nikunau Airport,Nikunau,
KI,NON,Nonouti Airport,Nonouti,
KI,OOT,Onotoa Airport,Onotoa,
KI,TBF,Tabiteuea North Airport,Tabiteuea North,
KI,TMN,Tamana Airport,Tamana,
KI,TNQ,Teraina Airport,Teraina,
KI,TNV,Tabuaeran Airport,Tabuaeran,
KI,TRW,Tarawa Bonriki Intl Airport,Tarawa,
KI,TSU,Tabiteuea South Airport,Tabiteuea South,
KM,AJN,Anjouan Ouani Airport,Anjouan,
KM,HAH,Moroni Prince Said Ibrahim Airport,Moroni,
KM,NWA,Moheli Bandar es Salam Airport,Moheli,
KM,YVA,Moroni Iconi Airport,Moroni,
KN,NEV,Nevis Vance W. Amory Intl Airport,Nevis,
KN,SKB,St Kitts Robert L. Bradshaw Int Airport,St Kitts,
KP,DSO,Sondok Airport,Sondok,
KP,FNJ,Pyongyang Sunan Intl Airport,Pyongyang,
KP,RGO,Chongjin Orang Airport,Chongjin,
KP,UJU,Uiju Airfield,Uiju,
KP,WOS,Wonsan Airport,Wonsan,
KP,YJS,Samjiyon Airport,Samjiyon,
KR,CHF,Jinhae Airport,Jinhae,
KR,CHN,Jeonju Airport,Jeonju,
KR,CJJ,Cheongju International Airport,Cheongju,
KR,CJU,Jeju International Airport,Jeju,
KR,GMP,Seoul Gimpo International Airport,Seoul,
KR,HIN,Jinju Sacheon Airport,Jinju,
KR,HMY,Seosan Airport,Seosan,
KR,ICN,Seoul Incheon International Airport,Seoul,
KR,JCJ,Chuja Heliport,Chuja,
KR,JCN,Incheon Heliport,Incheon,
KR,JDG,Jeongseok Airport,Jeongseok,
KR,JGE,Geoje Heliport,Geoje,
KR,JSP,Seogwipo Heliport,Seogwipo,
KR,JWO,Chungju Jungwon AB Airport,Chungju,
KR,KAG,Gangneung Air Base Airport,Gangneung,
KR,KPO,Pohang Airport,Pohang,
KR,KUV,Gunsan Airport,Gunsan,
KR,KWJ,Gwangju Airport,Gwangju,
KR,MWX,Muan International Airport,Muan,
KR,OSN,Osan Air Base Airport,Osan,
KR,PUS,Busan Gimhae Intl Airport,Busan,
KR,QDY,Andong Off-line Point,Andong,
KR,QET,Daedeok Off-line Point,Daedeok,
KR,QJP,Bucheon Off-line Point,Bucheon,
KR,QKM,Gumi Off-line Point,Gumi,
KR,QMS,Masan Off-line Point,Masan,
KR,QTW,Daejeon Off-line Point,Daejeon,
KR,QUJ,Uijeongbu Off-line Point,Uijeongbu,
KR,QUN,Chuncheon Off-line Point,Chuncheon,
KR,QUU,Tongyeong Off-line Point,Tongyeong,
KR,QYA,Anyang Off-line Point,Anyang,
KR,QYK,Goyang Off-line Point,Goyang,
KR,RSU,Yeosu/Suncheon Airport,Yeosu/Suncheon,
KR,SEL,Seoul Metropolitan Area,Seoul,
KR,SSN,Seoul Air Base Airport,Seoul,
KR,SWU,Suwon Air Base Airport,Suwon,
KR,TAE,Daegu International Airport,Daegu,
KR,UJN,Uljin Airport,Uljin,
KR,USN,Ulsan Airport,Ulsan,
KR,WJU,Wonju Airport,Wonju,
KR,XNS,Ansan Off-line Point,Ansan,
KR,XOX,Cheonan Off-line Point,Cheonan,
KR,YEC,Yecheon Airport,Yecheon,
KR,YNY,Yangyang International Airport,Yangyang,
KW,KWI,Kuwait International Airport,Kuwait,
KW,XIJ,Ahmed al Jaber Air Base Airport,Ahmed al Jaber,
KY,CYB,Cayman Brac C. Kirkconnell Intl Airport,Cayman Brac,
KY,GCM,Grand Cayman Owen Roberts Intl Airport,Grand Cayman,
KY,LYB,Little Cayman Edward Bodden Airport,Little Cayman,
KZ,AKX,Aktobe Airport,Aktobe,
KZ,ALA,Almaty International Airport,Almaty,
KZ,ATX,Atbasar Airport,Atbasar,
KZ,AYK,Arkalyk Airport,Arkalyk,
KZ,BXH,Balkhash Airport,Balkhash,
KZ,BXJ,Almaty Borolday Airport,Almaty,
KZ,BXY,Baikonur Krayniy Airport,Baykonur,
KZ,CIT,Shymkent International Airport,Shymkent,
KZ,DMB,Taraz Airport,Taraz,
KZ,DZN,Zhezkazgan Airport,Zhezkazgan,
KZ,EKB,Ekibastuz Airport,Ekibastuz,
KZ,GUW,Atyrau Airport,Atyrau,
KZ,HRC,Zhayrem Sary Su Airport,Zhayrem,
KZ,KGF,Karaganda Sary-Arka Airport,Karaganda,
KZ,KOV,Kokshetau Airport,Kokshetau,
KZ,KSN,Kostanay Airport,Kostanay,
KZ,KZO,Kyzylorda Airport,Kyzylorda,
KZ,PLX,Semey Airport,Semey,
KZ,PPK,Petropavlovsk Airport,Petropavlovsk,
KZ,PWQ,Pavlodar Airport,Pavlodar,
KZ,SCO,Aktau Airport,Aktau,
KZ,SZI,Zaysan Airport,Zaysan,
KZ,TDK,Taldykorgan Airport,Taldykorgan,
KZ,TSE,Astana International Airport,Astana,
KZ,UKK,Ust-Kamenogorsk Airport,Ust-Kamenogorsk,
KZ,URA,Uralsk Ak Zhol Airport,Uralsk,
KZ,USJ,Usharal Airport,Usharal,
KZ,UZR,Urdzhar Airport,Urdzhar,
LA,AOU,Attapeu Airport,Attapeu,
LA,HOE,Houeisay Airport,Houeisay,
LA,KOG,Khong Airport,Khong,
LA,LPQ,Luang Prabang International Airport,Luang Prabang,
LA,LXG,Luang Namtha Airport,Luang Namtha,
LA,NEU,Sam Neua Airport,Sam Neua,
LA,ODY,Muang Xay Oudomxai Airport,Muang Xay,
LA,PCQ,Phongsaly Boun Neua Airport,Phongsaly,
LA,PKZ,Pakse International Airport,Pakse,
LA,THK,Thakhek Airport,Thakhek,
LA,VNA,Salavan Airport,Salavan,
LA,VTE,Vientiane Wattay Intl Airport,Vientiane,
LA,XIE,Xienglom Airport,Xienglom,
LA,XKH,Phonsavan Xieng Khouang Airport,Phonsavan,
LA,ZBY,Sayaboury Airport,Sayaboury,
LA,ZVK,Savannakhet Airport,Savannakhet,
LB,BEY,Beirut Rafic Hariri Intl Airport,Beirut,
LB,KYE,Tripoli Rene Mouawad AB Airport,Tripoli,
LB,QJN,Jounie Off-line Point,Jounie,
LB,QJQ,Jall ed Dib Off-line Point,Jall ed Dib,
LB,QSQ,Sidon Off-line Point,Sidon,
LB,QZQ,Zahle Off-line Point,Zahle,
LC,SLU,St Lucia George F.L. Charles Airport,St Lucia,
LC,UVF,St Lucia Hewanorra Intl Airport,St Lucia,
LI,QVU,Vaduz Off-line Point,Vaduz,
LK,ACJ,Anuradhapura Airport,Anuradhapura,
LK,ADP,Ampara Gal Oya Airport,Ampara,
LK,AFK,Ampara Kondavattavan Tank SPB Airport,Ampara,
LK,AYY,Pottuvil Arugam Bay SPB Airport,Pottuvil,
LK,BJT,Bentota Bentota River SPB Airport,Bentota,
LK,BTC,Batticaloa Airport Airport,Batticaloa,
LK,BYV,Colombo Beira Lake SPB Airport,Colombo,
LK,CMB,Colombo Bandaranaike Intl Airport,Colombo,
LK,DBK,Kalpitiya Dutch Bay SPB Airport,Kalpitiya,
LK,DBU,Dambulla Dambulu Oya Tank SPB Airport,Dambulla,
LK,DGM,Colombo Dandugama SPB Airport,Colombo,
LK,DIW,Dikwella Mawella Lagoon SPB Airport,Dikwella,
LK,DWO,Kotte Diyawanna Oya Airport,Kotte,
LK,GIU,Sigiriya Airport,Sigiriya,
LK,HBT,Hambantota SPB Airport,Hambantota,
LK,HIM,Hingurakgoda Minneriya Airport,Hingurakgoda,
LK,HRI,Hambantota Mattala Rajapaksa Intl Apt,Hambantota,
LK,IRU,Iranamadu SPB Airport,Iranamadu,
LK,JAF,Jaffna Kankesanturai Airport,Jaffna,
LK,KCT,Koggala Airport,Koggala,
LK,KDW,Kandy Victoria Reservoir SPB Airport,Kandy,
LK,KDZ,Kandy Polgolla Reservoir SPB Airport,Kandy,
LK,KEZ,Colombo Kelani-Peliyagoda SPB Airport,Colombo,
LK,KTY,Katukurunda Airport,Katukurunda,
LK,NUA,Nuwara Eliya Gregory Lake SPB Airport,Nuwara Eliya,
LK,NUF,Hatton Castlereigh Resrvr SPB Airport,Hatton,
LK,PQD,Batticaloa Passikudah SPB Airport,Batticaloa,
LK,RML,Colombo Ratmalana Airport,Colombo,
LK,THW,Trincomalee Harbour SPB Airport,Trincomalee,
LK,TRR,Trincomalee China Bay Airport,Trincomalee,
LK,TTW,Tissamaharama Tissa Tank SPB Airport,Tissamaharama,
LK,WRZ,Weerawila Airport,Weerawila,
LR,BYL,Belle Yella Airport,Belle Yella,
LR,CPA,Harper Cape Palmas Airport,Harper,
LR,FOY,Foya Airport,Foya,
LR,GRC,Grand Cess Airport,Grand Cess,
LR,MLW,Monrovia Spriggs Payne Airport,Monrovia,
LR,NIA,Nimba Airport,Nimba,
LR,ROB,Monrovia Roberts Intl Airport,Monrovia,
LR,RVC,River Cess Airport,River Cess,
LR,SAZ,Sasstown Airport,Sasstown,
LR,SNI,Greenville R.E. Murray Airport,Greenville,
LR,THC,Tchien Airport,Tchien,
LR,TPT,Tapeta Airport,Tapeta,
LR,UCN,Buchanan Airport,Buchanan,
LR,VOI,Voinjama Tenebu Airport,Voinjama,
LR,WES,Weasua Airport,Weasua,
LS,LEF,Lebakeng Airport,Lebakeng,
LS,LES,Lesobeng Airport,Lesobeng,
LS,LRB,Leribe Airport,Leribe,
LS,MFC,Mafeteng Airport,Mafeteng,
LS,MKH,Mokhotlong Airport,Mokhotlong,
LS,MSG,Matsaile Airport,Matsaile,
LS,MSU,Maseru Moshoeshoe I Intl Airport,Maseru,
LS,NKU,Nkau Airport,Nkau,
LS,PEL,Pelaneng Airport,Pelaneng,
LS,SHK,Sehonghong Airport,Sehonghong,
LS,SHZ,Seshote Airport,Seshote,
LS,SKQ,Sekake Airport,Sekake,
LS,SOK,Semongkong Airport,Semongkong,
LS,THB,Thaba-Tseka Airport,Thaba-Tseka,
LS,TKO,Tlokoeng Airport,Tlokoeng,
LS,UNE,Qacha's Nek Airport,Qacha's Nek,
LS,UTG,Quthing Airport,Quthing,
LT,KUN,Kaunas International Airport,Kaunas,
LT,PLQ,Klaipeda/Palanga Palanga Intl Airport,Klaipeda/Palanga,
LT,PNV,Panevezys Pajuostis Airport,Panevezys,
LT,SQQ,Siauliai International Airport,Siauliai,
LT,VNO,Vilnius International Airport,Vilnius,
LT,XJK,Klaipeda/Palanga Klaipeda Bus Station,Klaipeda/Palanga,
LU,LUX,Luxembourg Airport,Luxembourg,
LV,DGP,Daugavpils International Airport,Daugavpils,
LV,LPX,Liepaja International Airport,Liepaja,
LV,RIX,Riga International Airport,Riga,
LV,VNT,Ventspils Airport,Ventspils,
LY,AKF,Kufra Airport,Kufra,
LY,BCQ,Brach Airport,Brach,
LY,BEN,Benghazi Benina Intl Airport,Benghazi,
LY,DNF,Derna Martuba Airport,Derna,
LY,GHT,Ghat Airport,Ghat,
LY,HUQ,Hon Airport,Hon,
LY,LAQ,Beida Labraq Airport,Beida,
LY,LMQ,Marsa Brega Airport,Marsa Brega,
LY,LTD,Ghadames Airport,Ghadames,
LY,MJI,Tripoli Mitiga Airport,Tripoli,
LY,MRA,Misurata Airport,Misurata,
LY,NFR,Nafoora Airport,Nafoora,
LY,QBL,Bani Walid Off-line Point,Bani Walid,
LY,QEC,El Merj Off-line Point,El Merj,
LY,QGG,Agedabia Off-line Point,Agedabia,
LY,QGH,Gherian Off-line Point,Gherian,
LY,QKO,Khoms Off-line Point,Khoms,
LY,QMQ,Murzuq Off-line Point,Murzuq,
LY,QUB,Ubari Airport,Ubari,
LY,QZL,Zliten Off-line Point,Zliten,
LY,QZT,Zawia Off-line Point,Zawia,
LY,SEB,Sebha Airport,Sebha,
LY,SRX,Sirte Gardabya Airport,Sirte,
LY,TIP,Tripoli International Airport,Tripoli,
LY,TOB,Tobruk Airport,Tobruk,
LY,WAX,Zuara Airport,Zuara,
LY,ZIS,Alzintan Airport,Zintan,
MA,AGA,Agadir Al Massira Airport,Agadir,
MA,AHU,Al Hoceima Cherif El Idrissi Airport,Al Hoceima,
MA,BEM,Beni Mellal National Airport,Beni Mellal,
MA,CAS,Casablanca Anfa Airport,Casablanca,
MA,CMN,Casablanca Mohammed V Airport,Casablanca,
MA,ERH,Errachidia Moulay Ali Cherif Airport,Errachidia,
MA,ESU,Essaouira Mogador Airport,Essaouira,
MA,EUN,Laayoune Hassan I Airport,Laayoune,
MA,FEZ,Fes Saiss Airport,Fes,
MA,GLN,Guelmime Airport,Guelmime,
MA,GMD,Ben Slimane Airport,Ben Slimane,
MA,MEK,Meknes Royal AFB Airport,Meknes,
MA,NDR,Nador El Aroui Airport,Nador,
MA,NNA,Kenitra Royal AFB Airport,Kenitra,
MA,OUD,Oujda Angads Airport,Oujda,
MA,OZG,Zagora Airport,Zagora,
MA,OZZ,Ouarzazate Airport,Ouarzazate,
MA,RAK,Marrakech Menara Airport,Marrakech,
MA,RBA,Rabat Sale Airport,Rabat,
MA,SII,Sidi Ifni Sania Ramel Airport,Sidi Ifni,
MA,SMW,Smara Airport,Smara,
MA,TNG,Tangier Ibn Batouta Airport,Tangier,
MA,TTA,Tan-Tan Plage Blanche Airport,Tan-Tan,
MA,TTU,Tetouan Saniat R'mel Airport,Tetouan,
MA,UAR,Bouarfa Airport,Bouarfa,
MA,VIL,Dakhla Airport,Dakhla,
MC,MCM,Monaco Heliport,Monaco,
MC,XMM,Monte-Carlo Off-line Point,Monte-Carlo,
MD,BZY,Balti International Airport,Balti,
MD,KIV,Chisinau International Airport,Chisinau,
ME,HNO,Herceg-Novi Off-line Point,Herceg-Novi,
ME,IVG,Berane Dolac Airport,Berane,
ME,QBA,Budva Off-line Point,Budva,
ME,TGD,Podgorica Airport,Podgorica,
ME,TIV,Tivat Airport,Tivat,
ME,ZBK,Zabljak Airport,Zabljak,
ME,ZKQ,Kotor Off-line Point,Kotor,
MF,SFG,St Martin Grand-Case L'Esperance Airport,St Martin,
MF,XCJ,Marigot Off-line Point,Marigot,
MG,AHY,Ambatolahy Airport,Ambatolahy,
MG,AMB,Ambilobe Airport,Ambilobe,
MG,AMP,Ampanihy Airport,Ampanihy,
MG,AMY,Ambatomainty Airport,Ambatomainty,
MG,ANM,Antalaha Antsirabato Airport,Antalaha,
MG,ATJ,Antsirabe Airport,Antsirabe,
MG,BKU,Betioky Airport,Betioky,
MG,BMD,Belo Tsiribihina Airport,Belo Tsiribihina,
MG,BPY,Besalampy Airport,Besalampy,
MG,BSV,Besakoa Airport,Besakoa,
MG,BZM,Bemolanga Airport,Bemolanga,
MG,DIE,Antsiranana Arrachart Airport,Antsiranana,
MG,DOA,Doany Airport,Doany,
MG,DVD,Andavadoaka Airport,Andavadoaka,
MG,DWB,Soalala Airport,Soalala,
MG,FTU,Tolanaro Marillac Airport,Tolanaro,
MG,HVA,Analalava Airport,Analalava,
MG,IHO,Ihosy Airport,Ihosy,
MG,ILK,Ilaka Atsinanana Airport,Ilaka Atsinanana,
MG,IVA,Ambanja Ampampamena Airport,Ambanja,
MG,JVA,Ankavandra Airport,Ankavandra,
MG,MJA,Manja Airport,Manja,
MG,MJN,Mahajanga Philibert Tsiranana Airport,Mahajanga,
MG,MNJ,Mananjary Airport,Mananjary,
MG,MOQ,Morondava Airport,Morondava,
MG,MXM,Morombe Airport,Morombe,
MG,MXT,Maintirano Airport,Maintirano,
MG,NKO,Ankokoambo Airport,Ankokoambo,
MG,NOS,Nosy-Be Fascene Airport,Nosy-Be,
MG,OHB,Moramanga Ambohibary Airport,Moramanga,
MG,OVA,Bekily Airport,Bekily,
MG,RLR,Isalo Relais de la Reine Airport,Isalo,
MG,RVA,Farafangana Airport,Farafangana,
MG,SMS,Sainte-Marie Airport,Sainte-Marie,
MG,SVB,Sambava Airport,Sambava,
MG,TDV,Tanandava Samangoky Airport,Tanandava,
MG,TLE,Toliara Airport,Toliara,
MG,TMM,Toamasina Airport,Toamasina,
MG,TNR,Antananarivo Ivato Intl Airport,Antananarivo,
MG,TTS,Tsaratanana Airport,Tsaratanana,
MG,TVA,Morafenobe Airport,Morafenobe,
MG,TZO,Ankisatra Tsimiroro Airport,Ankisatra,
MG,VAT,Vatomandry Airport,Vatomandry,
MG,VND,Vangaindrano Airport,Vangaindrano,
MG,VOH,Vohimarina Airport,Vohimarina,
MG,VVB,Mahanoro Airport,Mahanoro,
MG,WAD,Andriamena Airport,Andriamena,
MG,WAI,Antsohihy Ambalabe Airport,Antsohihy,
MG,WAK,Ankazoabo Airport,Ankazoabo,
MG,WAM,Ambatondrazaka Airport,Ambatondrazaka,
MG,WAQ,Antsalova Airport,Antsalova,
MG,WBD,Befandriana Airport,Befandriana,
MG,WBE,Bealanana Ankaizina Airport,Bealanana,
MG,WBO,Beroroha Antsoa Airport,Beroroha,
MG,WFI,Fianarantsoa Airport,Fianarantsoa,
MG,WMA,Mandritsara Airport,Mandritsara,
MG,WMD,Mandabe Airport,Mandabe,
MG,WML,Malaimbandy Airport,Malaimbandy,
MG,WMN,Maroantsetra Airport,Maroantsetra,
MG,WMP,Mampikony Airport,Mampikony,
MG,WMR,Mananara Avaratra Airport,Mananara Avaratra,
MG,WMV,Madirovalo Airport,Madirovalo,
MG,WOR,Ankorefo Moramba Airport,Ankorefo,
MG,WPB,Port Berge Vaovao Airport,Port Berge Vaovao,
MG,WTA,Tambohorano Airport,Tambohorano,
MG,WTS,Tsiroanomandidy Airport,Tsiroanomandidy,
MG,WVK,Manakara Airport,Manakara,
MG,ZVA,Miandrivazo Airport,Miandrivazo,
MG,ZWA,Andapa Airport,Andapa,
MH,AIC,Airok Ailinglapalap Airport,Airok,
MH,AIM,Ailuk Island Airport,Ailuk Island,
MH,AUL,Aur Island Airport,Aur Island,
MH,BII,Bikini Atoll Enyu Airport,Bikini Atoll,
MH,EAL,Elenak Airport,Elenak,
MH,EBN,Ebadon Island Airport,Ebadon Island,
MH,EBO,Ebon Island Airport,Ebon Island,
MH,EJT,Enejet Island Airport,Enejet Island,
MH,ENT,Enewetak Island Airport,Enewetak Island,
MH,IMI,Ine Island Airport,Ine Island,
MH,JAT,Jabot Island Airport,Jabot Island,
MH,JEJ,Jeh Island Airport,Jeh Island,
MH,KBT,Kaben Island Airport,Kaben Island,
MH,KIO,Kili Island Airport,Kili Island,
MH,KWA,Kwajalein Island Bucholz AAF Airport,Kwajalein Island,
MH,LIK,Likiep Island Airport,Likiep Island,
MH,LML,Lae Island Airport,Lae Island,
MH,LOF,Loen Island Airport,Loen Island,
MH,MAJ,Majuro Amata Kabua Intl Airport,Majuro,
MH,MAV,Maloelap Atoll Taroa Island Airport,Maloelap Atoll,
MH,MIJ,Mili Island Airport,Mili Island,
MH,MJB,Mejit Island Airport,Mejit Island,
MH,MJE,Majkin Airport,Majkin,
MH,NDK,Namdrik Island Airport,Namdrik Island,
MH,QEE,Ebeye Off-line Point,Ebeye,
MH,RNP,Rongelap Island Airport,Rongelap Island,
MH,TBV,Tabal Island Airport,Tabal Island,
MH,TIC,Tinak Island Airport,Tinak Island,
MH,UIT,Jaluit Island Airport,Jaluit Island,
MH,UJE,Ujae Island Airport,Ujae Island,
MH,UTK,Utirik Island Airport,Utirik Island,
MH,WJA,Woja Island Airport,Woja Island,
MH,WTE,Wotje Island Airport,Wotje Island,
MH,WTO,Wotho Island Airport,Wotho Island,
MK,OHD,Ohrid St.Paul the Apostle Airport,Ohrid,
MK,QBI,Bitola Off-line Point,Bitola,
MK,QXP,Struga Off-line Point,Struga,
MK,SKP,Skopje Alexander the Great Airport,Skopje,
ML,BKO,Bamako Senou Intl Airport,Bamako,
ML,EYL,Yelimane Airport,Yelimane,
ML,GAQ,Gao Korogoussou Airport,Gao,
ML,GUD,Goundam Airport,Goundam,
ML,KNZ,Kenieba Airport,Kenieba,
ML,KSS,Sikasso Dignangan Airport,Sikasso,
ML,KTX,Koutiala Airport,Koutiala,
ML,KYS,Kayes Dag-Dag Airport,Kayes,
ML,MZI,Mopti Ambodedjo Airport,Mopti,
ML,NIX,Nioro du Sahel Airport,Nioro du Sahel,
